AwardingBody,BiddingSite,SiteLink
City of Berkeley Energy Office,berkeley.granicus.com,https://berkeley.granicus.com/AgendaViewer.php?view_id=5&clip_id=4684
City of Berkeley Energy Office,www.publicpurchase.com,https://www.publicpurchase.com/gems/buyer/public/home?syndicatedOrgId=14305&region=CA
County of Trinity,www.trinitycounty.org,https://www.trinitycounty.org/Request-for-Proposals
County of Trinity,www.co.trinity.tx.us,https://www.co.trinity.tx.us/page/trinity.Bid.Notices
County of Trinity,www.instantmarkets.com,https://www.instantmarkets.com/q/trinity_county
County of Trinity,www.publicpurchase.com,https://www.publicpurchase.com/gems/buyer/public/home?syndicatedOrgId=37768&region=TX
County of Trinity,en.wikipedia.org,"https://en.wikipedia.org/wiki/Trinity_County,_California#:~:text=The%20county%20seat%20and%20largest%20community%20is%20Weaverville."
County of Trinity,eavervilleonline.net,http://weavervilleonline.net/#:~:text=Weaverville%20is%20located%20in%20Northern%20California%20in%20Trinity%20County.
County of Trinity,www.investopedia.com,"https://www.investopedia.com/terms/b/bid.asp#:~:text=The%20bid%20process%20depends%20on,usually%20through%20a%20sealed%20process."
County of Trinity,www.trinity.courts.ca.gov,"https://www.trinity.courts.ca.gov/general-information/history#:~:text=Trinity%20County%20was%20founded%20on,stream%20emptied%20into%20Trinidad%20Bay."
County of Trinity,iq.govwin.com,https://iq.govwin.com/neo/public/pop/Trinity%20County%20%28CA%29
County of Trinity,www.tcrcd.net,https://www.tcrcd.net/index.php/news/public-notice
County of Trinity,www.bidnetdirect.com,https://www.bidnetdirect.com/public/supplier/solicitations/statewide/443151848855/abstract
County of Trinity,www.easttexasnews.com,"https://www.easttexasnews.com/article/3597,trinity-county-seeking-bids-for-road-materials-and-services"
